step,amount,isFraud,CASH_IN,CASH_OUT,DEBIT,PAYMENT,TRANSFER
153,13411.21,0,0,0,0,1,0
398,32730.15,0,1,0,0,0,0
284,67759.63,0,1,0,0,0,0
400,416345.29,0,1,0,0,0,0
378,55481.83,0,1,0,0,0,0
159,11647.55,0,0,0,0,1,0
180,13897.68,0,1,0,0,0,0
205,10102.81,0,0,0,0,1,0
323,92651.87,0,0,1,0,0,0
234,457829.61,0,0,0,0,0,1
330,198512.34,0,1,0,0,0,0
14,134627.6,0,0,1,0,0,0
380,50816.56,0,1,0,0,0,0
252,406783.36,0,0,1,0,0,0
312,2755050.21,0,0,0,0,0,1
394,326183.79,0,0,1,0,0,0
259,778.38,0,0,0,0,0,1
397,195699.9,0,0,1,0,0,0
20,9073.05,0,0,0,0,1,0
552,9781.97,0,0,0,0,1,0
379,159891.5,0,0,1,0,0,0
524,117950.44,0,1,0,0,0,0
17,317476.45,0,0,1,0,0,0
212,435038.3,0,1,0,0,0,0
329,44593.26,0,0,1,0,0,0
353,378582.46,0,0,1,0,0,0
253,335201.68,0,0,1,0,0,0
185,99844.36,0,0,1,0,0,0
297,18458.47,0,0,0,0,1,0
227,211098.58,0,0,1,0,0,0
121,125585.84,0,1,0,0,0,0
163,6956.86,0,0,0,0,1,0
9,12438.69,0,0,0,0,1,0
205,9222.68,0,0,0,0,1,0
335,216521.97,0,0,1,0,0,0
277,149831.84,0,0,1,0,0,0
378,289784.97,0,0,1,0,0,0
297,273659.86,0,0,1,0,0,0
329,163166.96,0,0,1,0,0,0
277,3125.59,0,0,0,0,1,0
352,142719.44,0,1,0,0,0,0
256,151674.48,0,0,1,0,0,0
369,687509.98,0,0,0,0,0,1
349,143641.39,0,0,1,0,0,0
359,5905.36,0,0,0,0,1,0
311,15380.28,0,0,0,0,1,0
422,6302.25,0,0,1,0,0,0
405,23406.09,0,0,1,0,0,0
186,2762.22,0,0,0,0,1,0
326,114281.27,0,1,0,0,0,0
210,31358.67,0,0,0,0,1,0
228,169861.17,0,0,1,0,0,0
254,460019.07,0,1,0,0,0,0
210,90416.22,0,0,1,0,0,0
261,69746.22,0,0,1,0,0,0
379,98103.38,0,0,1,0,0,0
230,3376.84,0,0,0,0,1,0
202,31798.77,0,0,1,0,0,0
355,147016.72,0,0,1,0,0,0
239,243.88,0,0,0,0,1,0
42,422116.47,0,0,0,0,0,1
373,1357.11,0,0,0,0,1,0
181,151238.14,0,1,0,0,0,0
354,3935.35,0,0,0,0,1,0
254,122575.52,0,0,1,0,0,0
255,16338.57,0,1,0,0,0,0
228,18407.73,0,0,0,0,1,0
322,39233.26,0,0,0,0,1,0
135,250248.48,0,0,1,0,0,0
184,128589.47,0,0,1,0,0,0
354,6964.81,0,0,0,0,1,0
335,25871.66,0,0,0,0,1,0
180,136791.79,0,0,0,0,0,1
43,9584.69,0,0,0,0,1,0
328,17354.93,0,0,0,0,1,0
180,397568.24,0,0,1,0,0,0
402,59170.51,0,1,0,0,0,0
324,1397365.76,0,0,0,0,0,1
608,835750.27,0,0,0,0,0,1
307,31735.95,0,0,1,0,0,0
164,1583.19,0,0,0,0,1,0
35,315155.19,0,1,0,0,0,0
309,8295.38,0,0,0,0,1,0
346,356916.88,0,0,1,0,0,0
249,30178.45,0,0,0,0,1,0
378,163908.86,0,1,0,0,0,0
253,17635.35,0,0,0,0,1,0
404,560498.45,0,0,0,0,0,1
304,180951.48,0,0,1,0,0,0
492,58272.6,0,0,0,0,1,0
330,64562.36,0,0,1,0,0,0
371,122638.12,0,0,1,0,0,0
257,305837.83,0,1,0,0,0,0
44,6013.83,0,0,0,0,1,0
253,83654.98,0,0,0,0,0,1
141,30717.11,0,0,1,0,0,0
349,8153.02,0,0,0,0,1,0
335,7084.3,0,0,0,0,1,0
40,14969.59,0,0,0,0,1,0
138,352573.0,0,0,1,0,0,0
139,47174.32,0,1,0,0,0,0
399,7137.16,0,0,0,0,1,0
407,9587.82,0,0,0,0,1,0
19,6294.85,0,0,0,0,1,0
237,910.07,0,0,0,0,1,0
11,263902.28,0,0,1,0,0,0
250,6363.53,0,0,0,0,1,0
376,6791.03,0,0,0,0,1,0
139,48214.14,0,0,1,0,0,0
284,502205.59,0,0,1,0,0,0
283,801987.09,0,0,0,0,0,1
181,140404.59,0,1,0,0,0,0
347,11938.14,0,0,0,0,1,0
234,13837.2,0,0,0,0,1,0
684,2855.48,0,0,0,0,1,0
46,6129.66,0,0,0,0,1,0
35,12268.2,0,0,0,0,1,0
306,54933.17,0,1,0,0,0,0
209,3565849.04,0,0,0,0,0,1
12,255575.59,0,0,0,0,0,1
133,111010.57,0,1,0,0,0,0
401,6263.33,0,0,0,0,1,0
226,35.09,0,0,0,0,1,0
284,153095.08,0,0,1,0,0,0
47,1608.39,0,0,0,0,1,0
12,10774.92,0,0,0,0,1,0
332,94496.45,0,0,1,0,0,0
281,34290.15,0,0,1,0,0,0
230,25515.24,0,0,1,0,0,0
163,111202.71,0,1,0,0,0,0
36,370029.69,0,0,1,0,0,0
204,323022.37,0,1,0,0,0,0
234,290178.28,0,1,0,0,0,0
155,743221.93,0,0,0,0,0,1
400,335657.31,0,0,1,0,0,0
376,230130.5,0,0,1,0,0,0
596,358557.81,0,0,0,0,0,1
21,439.86,0,0,0,0,1,0
255,206868.48,0,0,1,0,0,0
354,45072.64,0,0,1,0,0,0
355,150315.65,0,0,1,0,0,0
137,260842.57,0,1,0,0,0,0
139,256312.88,0,0,1,0,0,0
349,12985.31,0,0,0,0,1,0
236,305202.27,0,0,0,0,0,1
250,306026.89,0,0,1,0,0,0
44,130106.54,0,0,1,0,0,0
548,86051.29,0,1,0,0,0,0
373,118703.26,0,0,1,0,0,0
307,218053.22,0,1,0,0,0,0
42,142999.67,0,0,1,0,0,0
203,245050.53,0,0,0,0,0,1
37,334996.83,0,1,0,0,0,0
40,8571.81,0,0,0,0,1,0
398,4356.74,0,0,1,0,0,0
11,98245.55,0,0,1,0,0,0
280,188919.84,0,1,0,0,0,0
407,413013.31,0,0,1,0,0,0
277,261080.44,0,0,1,0,0,0
376,122490.65,0,0,1,0,0,0
43,6816.28,0,0,0,0,1,0
25,150983.51,0,0,1,0,0,0
253,2542.89,0,0,0,0,1,0
280,194025.53,0,1,0,0,0,0
181,507609.32,0,0,0,0,0,1
265,2762.59,0,0,0,0,1,0
185,290379.47,0,1,0,0,0,0
231,192.78,0,0,0,0,1,0
153,280561.54,0,1,0,0,0,0
308,6008.11,0,0,0,0,1,0
350,263601.37,0,0,1,0,0,0
595,90336.75,0,1,0,0,0,0
276,74643.25,0,1,0,0,0,0
186,147137.26,0,0,1,0,0,0
378,290629.27,0,0,1,0,0,0
204,55039.64,0,1,0,0,0,0
225,297946.82,0,0,1,0,0,0
183,39116.05,0,0,0,0,1,0
12,125029.3,0,1,0,0,0,0
141,228634.96,0,0,1,0,0,0
206,160693.63,0,0,1,0,0,0
353,38849.81,0,1,0,0,0,0
369,33336.4,0,0,0,0,1,0
358,196805.25,0,1,0,0,0,0
156,1376495.04,0,0,0,0,0,1
355,1807.16,0,0,0,0,1,0
164,6396.76,0,0,0,0,1,0
10,24532.69,0,0,0,0,1,0
14,17253.85,0,0,0,0,1,0
596,36076.39,0,1,0,0,0,0
355,253166.74,0,1,0,0,0,0
234,37157.59,0,1,0,0,0,0
313,18468.07,0,0,0,0,1,0
154,93937.66,0,0,1,0,0,0
17,143033.87,0,0,1,0,0,0
137,144721.46,0,0,1,0,0,0
276,412884.34,0,1,0,0,0,0
692,122004.07,0,1,0,0,0,0
236,126103.67,0,1,0,0,0,0
254,123844.99,0,0,1,0,0,0
546,66090.14,0,1,0,0,0,0
211,4182.26,0,0,0,0,1,0
308,2028.49,0,0,0,0,1,0
230,536.9,0,0,1,0,0,0
33,9714.75,0,0,0,0,1,0
131,120601.1,0,0,1,0,0,0
347,33102.51,0,0,0,0,1,0
13,132623.65,0,1,0,0,0,0
235,56091.42,0,0,1,0,0,0
228,225670.2,0,0,1,0,0,0
16,1890.21,0,0,0,0,1,0
143,104383.65,0,0,1,0,0,0
307,17488.33,0,0,0,0,1,0
146,408835.63,0,1,0,0,0,0
337,226877.1,0,1,0,0,0,0
332,283308.35,0,0,1,0,0,0
298,558393.53,0,1,0,0,0,0
255,2253.67,0,0,0,0,1,0
230,113880.23,0,1,0,0,0,0
166,36412.7,0,1,0,0,0,0
617,187975.47,0,0,1,0,0,0
567,396685.75,0,1,0,0,0,0
405,21904.24,0,0,0,0,1,0
139,22743.35,0,0,0,0,1,0
347,85212.52,0,1,0,0,0,0
399,115071.58,0,1,0,0,0,0
11,8946.88,0,0,0,0,1,0
20,146411.96,0,1,0,0,0,0
21,166572.59,0,1,0,0,0,0
306,299205.33,0,0,0,0,0,1
14,498750.68,0,0,1,0,0,0
371,156650.63,0,0,1,0,0,0
135,21984.45,0,0,0,0,1,0
139,289528.39,0,0,1,0,0,0
256,407871.17,0,0,1,0,0,0
694,337637.44,0,0,1,0,0,0
404,211664.26,0,0,1,0,0,0
403,274036.49,0,1,0,0,0,0
39,4583.3,0,0,0,0,1,0
188,133811.95,0,1,0,0,0,0
401,154855.99,0,1,0,0,0,0
306,35730.23,0,0,1,0,0,0
307,43528.01,0,0,0,0,1,0
401,10104.13,0,0,0,0,1,0
178,20611.76,0,0,0,0,1,0
10,63784.59,0,1,0,0,0,0
374,58798.49,0,0,1,0,0,0
518,107212.24,0,1,0,0,0,0
404,287029.9,0,0,1,0,0,0
321,1198693.14,0,0,0,0,0,1
14,19197.06,0,0,1,0,0,0
394,108946.81,0,1,0,0,0,0
330,27639.66,0,1,0,0,0,0
156,259986.26,0,1,0,0,0,0
9,12510.43,0,0,0,0,1,0
137,190601.12,0,1,0,0,0,0
252,70342.34,0,1,0,0,0,0
35,255137.35,0,0,1,0,0,0
228,8890.64,0,0,0,0,1,0
181,263970.55,0,0,1,0,0,0
158,455625.84,0,1,0,0,0,0
324,214915.84,0,0,1,0,0,0
227,254445.74,0,0,1,0,0,0
358,17436.22,0,0,0,0,1,0
230,184768.67,0,1,0,0,0,0
375,4564.8,0,0,0,0,1,0
130,1682960.76,0,0,0,0,0,1
351,183022.57,0,0,1,0,0,0
237,3329.03,0,0,0,0,1,0
381,173123.62,0,0,1,0,0,0
356,39057.11,0,0,0,0,1,0
155,37538.61,0,0,0,0,1,0
226,203707.61,0,0,1,0,0,0
135,283158.28,0,0,1,0,0,0
287,11261.18,0,0,0,0,1,0
183,158317.48,0,0,1,0,0,0
138,16066.01,0,0,0,0,1,0
375,499274.77,0,0,0,0,0,1
37,291612.81,0,0,1,0,0,0
201,2633.2,0,0,0,0,1,0
19,76566.15,0,1,0,0,0,0
348,32983.73,0,0,0,0,1,0
371,61564.35,0,1,0,0,0,0
684,265029.07,0,0,1,0,0,0
19,1872.47,0,0,0,0,1,0
259,1298.17,0,1,0,0,0,0
352,2355.67,0,0,0,0,1,0
285,27273.14,0,0,1,0,0,0
131,556608.08,0,0,1,0,0,0
137,421582.26,0,0,1,0,0,0
259,84880.46,0,0,1,0,0,0
442,40979.83,0,0,1,0,0,0
213,82151.81,0,0,1,0,0,0
503,589.13,0,0,0,0,1,0
41,99815.4,0,0,1,0,0,0
278,59763.98,0,0,1,0,0,0
156,267345.22,0,0,1,0,0,0
300,67342.04,0,0,1,0,0,0
251,2239.38,0,0,0,0,1,0
189,48189.24,0,0,1,0,0,0
20,12627.64,0,0,0,0,1,0
297,283575.76,0,0,1,0,0,0
19,9385.05,0,0,0,0,1,0
328,161122.15,0,0,1,0,0,0
327,181729.82,0,1,0,0,0,0
354,503.53,0,0,0,0,1,0
302,5884.29,0,0,1,0,0,0
331,6623.6,0,0,0,0,1,0
182,2793.15,0,0,0,0,1,0
360,174470.89,0,1,0,0,0,0
378,10141.68,0,0,0,0,1,0
164,112984.47,0,0,1,0,0,0
401,32160.59,0,1,0,0,0,0
189,4533.04,0,0,0,0,1,0
191,37045.7,0,1,0,0,0,0
164,123828.88,0,0,1,0,0,0
379,8135.1,0,0,0,0,1,0
323,47692.71,0,0,0,0,1,0
11,9125.14,0,0,0,0,1,0
228,118469.93,0,1,0,0,0,0
202,131800.97,0,1,0,0,0,0
259,22407.51,0,0,1,0,0,0
43,159280.73,0,0,1,0,0,0
282,396854.39,0,0,0,0,0,1
257,12216.43,0,0,0,0,1,0
592,120301.45,0,0,1,0,0,0
284,85590.83,0,0,1,0,0,0
42,2988.16,0,0,0,0,1,0
325,358818.57,0,0,1,0,0,0
131,494858.05,0,0,1,0,0,0
279,110176.61,0,0,1,0,0,0
590,4419.39,0,1,0,0,0,0
155,42430.73,0,1,0,0,0,0
237,6767.94,0,0,0,0,1,0
182,9657.63,0,0,0,0,1,0
204,187693.08,0,1,0,0,0,0
40,49923.77,0,1,0,0,0,0
347,9446.43,0,0,0,0,1,0
492,107505.52,0,1,0,0,0,0
328,77122.16,0,0,0,0,0,1
184,224472.83,0,1,0,0,0,0
257,160271.19,0,0,1,0,0,0
251,46931.27,0,0,1,0,0,0
594,102049.35,0,1,0,0,0,0
44,8923.7,0,0,0,0,1,0
299,28344.5,0,0,0,0,1,0
406,30164.67,0,0,0,0,1,0
514,1081074.9,0,0,0,0,0,1
228,292766.36,0,1,0,0,0,0
43,19999.45,0,0,1,0,0,0
210,116235.35,0,0,1,0,0,0
238,6377.54,0,0,0,0,1,0
329,1271469.61,0,0,0,0,0,1
15,62936.96,0,0,1,0,0,0
159,2235.08,0,0,0,0,1,0
254,1637.9,0,0,0,0,1,0
201,519157.7,0,0,0,0,0,1
183,347274.22,0,0,1,0,0,0
564,244372.66,0,0,1,0,0,0
211,182053.01,0,0,1,0,0,0
12,421176.36,0,0,0,0,0,1
168,198198.32,0,0,1,0,0,0
130,357451.27,0,1,0,0,0,0
42,16579.26,0,0,0,0,1,0
274,69983.97,0,1,0,0,0,0
252,27868.26,0,0,1,0,0,0
187,24350.58,0,0,0,0,1,0
234,7913.32,0,0,0,0,1,0
185,290310.62,0,0,1,0,0,0
237,63788.24,0,0,0,0,0,1
208,36171.69,0,0,1,0,0,0
137,110652.73,0,1,0,0,0,0
211,234727.03,0,0,0,0,0,1
332,121307.77,0,0,1,0,0,0
43,316519.77,0,0,1,0,0,0
187,339498.86,0,0,1,0,0,0
300,566435.23,0,0,1,0,0,0
35,14814.23,0,0,0,0,1,0
10,171896.87,0,0,1,0,0,0
162,172440.76,0,0,1,0,0,0
396,220427.06,0,0,1,0,0,0
33,85290.14,0,0,1,0,0,0
347,9807.14,0,0,0,0,1,0
400,28488.3,0,0,0,0,1,0
334,3040.54,0,0,0,0,1,0
133,93260.4,0,0,1,0,0,0
404,116971.64,0,1,0,0,0,0
374,5382036.57,0,0,0,0,0,1
397,146236.51,0,0,1,0,0,0
94,237717.19,0,0,1,0,0,0
13,405870.93,0,1,0,0,0,0
234,16451.15,0,0,0,0,1,0
514,54695.6,0,1,0,0,0,0
327,2732.56,0,0,0,0,1,0
307,1901948.29,0,0,0,0,0,1
41,243785.54,0,0,1,0,0,0
234,7512.82,0,0,0,0,1,0
154,236936.25,0,0,1,0,0,0
163,228970.89,0,1,0,0,0,0
139,3403.78,0,0,0,0,1,0
37,135023.1,0,0,1,0,0,0
352,69610.84,0,1,0,0,0,0
334,122073.37,0,0,0,0,0,1
157,235521.33,0,0,1,0,0,0
358,65333.66,0,0,0,0,0,1
8,20922.36,0,0,0,0,1,0
181,199314.24,0,1,0,0,0,0
305,106979.48,0,1,0,0,0,0
378,1812545.04,0,0,0,0,0,1
179,227153.13,0,0,1,0,0,0
161,20977.92,0,0,1,0,0,0
348,4814.45,0,0,1,0,0,0
253,6147.13,0,0,0,0,1,0
232,172366.05,0,0,1,0,0,0
18,341762.64,0,1,0,0,0,0
206,347012.06,0,1,0,0,0,0
155,233.22,0,1,0,0,0,0
188,1918.74,0,0,0,0,1,0
46,19226.9,0,0,0,0,1,0
206,213345.31,0,0,1,0,0,0
304,387367.97,0,0,1,0,0,0
227,899057.62,0,0,0,0,0,1
207,768622.52,0,0,0,0,0,1
397,180370.32,0,1,0,0,0,0
303,167966.49,0,0,0,0,0,1
161,78647.72,0,0,1,0,0,0
255,222637.31,0,0,0,0,0,1
373,107159.98,0,0,1,0,0,0
324,680725.25,0,0,1,0,0,0
354,920714.49,0,0,0,0,0,1
380,26048.13,0,1,0,0,0,0
235,309117.47,0,0,0,0,0,1
15,208214.92,0,0,1,0,0,0
331,182568.88,0,1,0,0,0,0
156,280587.46,0,1,0,0,0,0
404,151140.89,0,1,0,0,0,0
688,8448.73,0,0,0,0,1,0
540,22557.97,0,0,0,0,1,0
353,11981.79,0,0,0,0,1,0
253,302165.61,0,1,0,0,0,0
325,35684.32,0,0,0,0,1,0
332,13451.73,0,0,0,0,1,0
9,277092.42,0,1,0,0,0,0
563,1691291.91,0,0,0,0,0,1
396,337257.98,0,0,1,0,0,0
154,1459.64,0,0,0,0,1,0
396,51285.79,0,0,1,0,0,0
571,2861.73,0,0,0,0,1,0
11,81176.56,0,0,0,0,0,1
41,6525.19,0,0,0,0,1,0
189,22172.41,0,1,0,0,0,0
378,52175.87,0,0,1,0,0,0
209,206546.59,0,0,0,0,0,1
207,84512.72,0,0,1,0,0,0
251,41163.86,0,1,0,0,0,0
371,620018.98,0,0,1,0,0,0
284,206069.36,0,0,1,0,0,0
206,1928.24,0,0,0,0,1,0
36,97079.99,0,1,0,0,0,0
188,85386.62,0,0,0,0,0,1
378,275658.39,0,0,0,0,0,1
306,187433.92,0,0,1,0,0,0
231,292159.79,0,0,1,0,0,0
380,4899.36,0,0,0,0,1,0
358,6215.52,0,0,0,0,1,0
283,8192.55,0,0,0,0,1,0
302,35180.59,0,0,0,0,1,0
374,112958.81,0,1,0,0,0,0
331,4766.45,0,0,0,0,1,0
350,199357.73,0,1,0,0,0,0
273,14630.75,0,0,0,0,1,0
308,12455.84,0,0,0,0,1,0
335,205.71,0,0,0,0,1,0
546,424630.1,0,0,1,0,0,0
283,57353.35,0,0,1,0,0,0
227,127816.32,0,1,0,0,0,0
352,214646.53,0,0,1,0,0,0
139,174945.27,0,0,1,0,0,0
308,8574.32,0,0,1,0,0,0
396,293642.69,0,0,1,0,0,0
192,3137.1,0,0,0,0,1,0
204,166123.15,0,1,0,0,0,0
282,45395.37,0,1,0,0,0,0
161,25948.66,0,0,0,0,1,0
186,11027.3,0,0,1,0,0,0
333,112555.82,0,0,1,0,0,0
42,740339.06,0,1,0,0,0,0
204,179826.58,0,0,1,0,0,0
164,10280.53,0,0,1,0,0,0
14,172315.6,0,0,1,0,0,0
11,471.66,0,0,0,0,1,0
250,146292.99,0,0,1,0,0,0
155,1047228.54,0,0,0,0,0,1
333,11898.84,0,0,0,0,1,0
354,330744.08,0,1,0,0,0,0
331,16417.81,0,0,0,0,1,0
259,222846.25,0,1,0,0,0,0
1,207283.84,0,0,1,0,0,0
576,1486.19,0,0,0,0,1,0
227,102436.85,0,1,0,0,0,0
156,8542.61,0,0,0,0,1,0
133,43653.75,0,1,0,0,0,0
162,14735.56,0,1,0,0,0,0
369,3159728.98,0,0,0,0,0,1
297,123498.34,0,0,1,0,0,0
44,89085.01,0,0,1,0,0,0
307,1937.14,0,0,0,0,1,0
594,231691.37,0,1,0,0,0,0
134,71995.62,0,0,1,0,0,0
207,1365.67,0,0,0,0,1,0
276,14746.35,0,0,1,0,0,0
182,21203.18,0,0,0,0,1,0
33,238948.72,0,0,0,0,0,1
9,83270.63,0,1,0,0,0,0
404,16391.18,0,0,0,0,1,0
203,19251.44,0,0,0,0,1,0
154,6706.05,0,0,0,0,1,0
177,11406.23,0,0,0,0,1,0
3,28444.78,0,1,0,0,0,0
322,179334.06,0,1,0,0,0,0
227,631677.24,0,0,0,0,0,1
279,53652.34,0,0,1,0,0,0
332,1177850.49,0,0,0,0,0,1
402,8802.23,0,0,0,0,1,0
466,82433.91,0,0,1,0,0,0
133,94689.44,0,1,0,0,0,0
380,27873.55,0,0,1,0,0,0
260,113230.32,0,0,1,0,0,0
93,184544.49,0,0,1,0,0,0
233,11443.99,0,0,0,0,1,0
185,107139.55,0,0,1,0,0,0
303,124822.82,0,1,0,0,0,0
168,134364.68,0,0,1,0,0,0
211,531415.56,0,0,0,0,0,1
325,104141.82,0,0,1,0,0,0
132,123383.11,0,0,1,0,0,0
17,19516.2,0,0,0,0,1,0
347,1207009.59,0,0,0,0,0,1
395,75777.02,0,1,0,0,0,0
203,68968.44,0,0,1,0,0,0
378,157902.25,0,0,1,0,0,0
202,34724.29,0,0,0,0,1,0
180,85002.55,0,0,1,0,0,0
44,248199.49,0,0,1,0,0,0
300,23418.18,0,1,0,0,0,0
94,26292.17,0,1,0,0,0,0
282,10678.57,0,0,0,0,1,0
300,21882.85,0,0,0,0,1,0
14,14672.41,0,0,0,0,1,0
395,583192.57,0,1,0,0,0,0
20,387971.52,0,0,1,0,0,0
284,6056.86,0,0,1,0,0,0
251,453048.75,0,1,0,0,0,0
347,370868.51,0,0,1,0,0,0
18,9252.12,0,0,0,0,1,0
34,119431.95,0,0,1,0,0,0
404,16224.92,0,0,0,0,1,0
235,324421.54,0,0,1,0,0,0
283,20774.55,0,0,0,0,1,0
139,8293.92,0,0,0,0,1,0
357,309240.64,0,0,1,0,0,0
329,175415.31,0,0,1,0,0,0
351,20294.52,0,0,1,0,0,0
133,481938.9,0,0,0,0,0,1
298,589252.89,0,0,0,0,0,1
349,306764.49,0,0,1,0,0,0
158,99841.98,0,1,0,0,0,0
351,12729.51,0,0,0,0,1,0
250,5500.1,0,0,0,0,1,0
420,29295.87,0,1,0,0,0,0
306,30205.77,0,0,0,0,1,0
141,80534.02,0,1,0,0,0,0
10,153057.83,0,1,0,0,0,0
396,184613.51,0,1,0,0,0,0
254,217872.65,0,0,1,0,0,0
139,411049.85,0,0,1,0,0,0
379,59077.51,0,0,1,0,0,0
538,526230.46,0,0,1,0,0,0
380,305398.46,0,0,0,0,0,1
205,240830.08,0,0,1,0,0,0
162,276997.22,0,0,1,0,0,0
129,498414.43,0,0,1,0,0,0
251,114835.73,0,0,1,0,0,0
307,39784.41,0,0,1,0,0,0
359,16789.24,0,0,0,0,1,0
307,246638.61,0,0,1,0,0,0
17,6809.7,0,0,0,0,1,0
252,175176.4,0,0,1,0,0,0
155,12076.44,0,0,0,0,1,0
371,205493.67,0,0,1,0,0,0
211,50412.96,0,1,0,0,0,0
10,7488.03,0,0,0,0,1,0
228,1229669.93,0,0,0,0,0,1
38,90578.79,0,0,1,0,0,0
324,56909.31,0,1,0,0,0,0
210,130594.57,0,0,1,0,0,0
325,44556.44,0,0,1,0,0,0
305,10000000.0,0,0,0,0,0,1
134,13301.56,0,0,0,0,1,0
259,33314.9,0,0,1,0,0,0
34,31966.73,0,0,0,0,1,0
400,31626.4,0,0,1,0,0,0
162,52947.19,0,0,1,0,0,0
34,5946.42,0,0,0,0,1,0
326,16877617.45,0,0,0,0,0,1
186,20505.04,0,0,1,0,0,0
18,8675.44,0,0,0,0,1,0
302,47581.48,0,0,1,0,0,0
210,80273.55,0,0,1,0,0,0
546,202665.35,0,0,1,0,0,0
186,360333.65,0,0,1,0,0,0
131,131800.71,0,0,1,0,0,0
229,272588.82,0,0,1,0,0,0
186,11217.0,0,0,0,0,1,0
161,40696.87,0,0,0,0,1,0
187,57348.56,0,0,1,0,0,0
235,89484.71,0,0,1,0,0,0
210,347344.06,0,0,1,0,0,0
308,83895.46,0,1,0,0,0,0
14,315077.54,0,0,1,0,0,0
95,134336.32,0,0,1,0,0,0
285,945728.07,0,0,0,0,0,1
393,407324.57,0,1,0,0,0,0
17,468602.15,0,0,1,0,0,0
8,247665.96,0,0,1,0,0,0
33,634511.38,0,0,0,0,0,1
34,107509.64,0,0,1,0,0,0
495,4993.62,0,0,0,0,1,0
375,26439.7,0,0,0,0,1,0
